"månad","institut","120 Summa tillgångar","103 Utlåning, Totalt","220 Summa skulder inkl. eget kapital","201 In-/upplåning, Totalt","203 Emitterade värdepapper","2035 Säkerställda obligationer, Emitterade"
"2015M01","Skandinaviska Enskilda Banken AB (Publ)",2405345,1309289,2405345,1118786,695954,312138
"2015M01","Swedbank AB (Publ)",1651636,898234,1651636,990435,344198,0
"2015M01","Svenska Handelsbanken AB (Publ)",2255056,1355883,2255056,1298964,641994,0
"2015M02","Skandinaviska Enskilda Banken AB (Publ)",2414958,1307424,2414958,1183776,661347,317981
"2015M02","Swedbank AB (Publ)",1670907,893329,1670907,994308,357087,0
"2015M02","Svenska Handelsbanken AB (Publ)",2235308,1374670,2235308,1267929,646013,0
"2015M03","Skandinaviska Enskilda Banken AB (Publ)",2404089,1348664,2404089,1077326,711071,322817
"2015M03","Swedbank AB (Publ)",1560253,891354,1560253,881615,356676,0
"2015M03","Svenska Handelsbanken AB (Publ)",2270328,1347088,2270328,1290260,646588,0
"2015M04","Skandinaviska Enskilda Banken AB (Publ)",2395987,1353517,2395987,1152999,691784,322775
"2015M04","Swedbank AB (Publ)",1654077,910921,1654077,1026419,324750,0
"2015M04","Svenska Handelsbanken AB (Publ)",2244582,1373627,2244582,1297859,640710,0
"2015M05","Skandinaviska Enskilda Banken AB (Publ)",2527445,1417342,2527445,1276520,717581,322454
"2015M05","Swedbank AB (Publ)",1673085,894978,1673085,1017555,366299,0
"2015M05","Svenska Handelsbanken AB (Publ)",2223577,1379201,2223577,1280966,634855,0
"2015M06","Skandinaviska Enskilda Banken AB (Publ)",2201327,1349664,2201327,1026323,684258,288569
"2015M06","Swedbank AB (Publ)",1538059,899739,1538059,911986,307731,0
"2015M06","Svenska Handelsbanken AB (Publ)",2263168,1436025,2263168,1323064,640973,0
"2015M07","Skandinaviska Enskilda Banken AB (Publ)",2428694,1362062,2428694,1216322,713698,295806
"2015M07","Swedbank AB (Publ)",1634474,919355,1634474,1005883,336961,0
"2015M07","Svenska Handelsbanken AB (Publ)",2291406,1423271,2291406,1336187,659702,0
"2015M08","Skandinaviska Enskilda Banken AB (Publ)",2472376,1370747,2472376,1241252,701086,305183
"2015M08","Swedbank AB (Publ)",1692456,904656,1692456,1030850,371490,0
"2015M08","Svenska Handelsbanken AB (Publ)",2267063,1402426,2267063,1306569,668802,0
"2015M09","Skandinaviska Enskilda Banken AB (Publ)",2186407,1374440,2186407,990801,689557,304486
"2015M09","Swedbank AB (Publ)",1536372,897619,1536372,830165,412141,0
"2015M09","Svenska Handelsbanken AB (Publ)",2270510,1370437,2270510,1284792,679168,0
"2015M10","Skandinaviska Enskilda Banken AB (Publ)",2442718,1375196,2442718,1229937,711816,313127
"2015M10","Swedbank AB (Publ)",1651168,907968,1651168,987210,379022,0
"2015M10","Svenska Handelsbanken AB (Publ)",2270152,1388891,2270152,1308132,681457,0
"2015M11","Skandinaviska Enskilda Banken AB (Publ)",2459853,1350948,2459853,1250626,705470,313650
"2015M11","Swedbank AB (Publ)",1600700,861165,1600700,927458,375864,0
"2015M11","Svenska Handelsbanken AB (Publ)",2262773,1396389,2262773,1293035,683277,0
"2015M12","Skandinaviska Enskilda Banken AB (Publ)",1899524,1261632,1899524,845686,618683,313486
"2015M12","Swedbank AB (Publ)",1365768,866255,1365768,833618,276579,0
"2015M12","Svenska Handelsbanken AB (Publ)",1865266,1335361,1865266,929600,677576,0
"2016M01","Skandinaviska Enskilda Banken AB (Publ)",2319382,1289923,2319382,1221598,626203,307708
"2016M01","Swedbank AB (Publ)",1533183,877042,1533183,934737,321244,0
"2016M01","Svenska Handelsbanken AB (Publ)",2242773,1409869,2242773,1260176,705278,0
"2016M02","Skandinaviska Enskilda Banken AB (Publ)",2407434,1319492,2407434,1262405,650828,319645
"2016M02","Swedbank AB (Publ)",1644815,902136,1644815,1032174,317231,0
"2016M02","Svenska Handelsbanken AB (Publ)",2229117,1373440,2229117,1258576,692472,0
"2016M03","Skandinaviska Enskilda Banken AB (Publ)",2178651,1334302,2178651,1025425,645464,323500
"2016M03","Swedbank AB (Publ)",1607288,916423,1607288,991596,291716,0
"2016M03","Svenska Handelsbanken AB (Publ)",2182095,1357107,2182095,1251684,663617,0
"2016M04","Skandinaviska Enskilda Banken AB (Publ)",2417701,1362028,2417701,1274746,667815,328546
"2016M04","Swedbank AB (Publ)",1618360,925395,1618360,1030988,294230,0
"2016M04","Svenska Handelsbanken AB (Publ)",2220764,1388489,2220764,1287603,668212,0
"2016M05","Skandinaviska Enskilda Banken AB (Publ)",2494999,1375230,2494999,1311942,680135,334359
"2016M05","Swedbank AB (Publ)",1654243,894500,1654243,1004921,337627,0
"2016M05","Svenska Handelsbanken AB (Publ)",2296436,1442701,2296436,1310567,681942,0
"2016M06","Skandinaviska Enskilda Banken AB (Publ)",2119176,1397707,2119176,1013063,635911,305251
"2016M06","Swedbank AB (Publ)",1695860,992434,1695860,1051046,347487,0
"2016M06","Svenska Handelsbanken AB (Publ)",2333604,1414815,2333604,1353244,707612,0
"2016M07","Skandinaviska Enskilda Banken AB (Publ)",2370017,1465689,2370017,1267479,643376,309877
"2016M07","Swedbank AB (Publ)",1658883,910800,1658883,1053999,302859,0
"2016M07","Svenska Handelsbanken AB (Publ)",2313384,1419742,2313384,1338576,697454,0
"2016M08","Skandinaviska Enskilda Banken AB (Publ)",2338139,1399664,2338139,1236476,654519,312973
"2016M08","Swedbank AB (Publ)",1707360,956638,1707360,1090944,320117,0
"2016M08","Svenska Handelsbanken AB (Publ)",2346854,1440579,2346854,1340533,724861,0
"2016M09","Skandinaviska Enskilda Banken AB (Publ)",2262817,1477291,2262817,1113176,680943,313684
"2016M09","Swedbank AB (Publ)",1597557,977481,1597557,957343,341656,0
"2016M09","Svenska Handelsbanken AB (Publ)",2213398,1472491,2213398,1229961,712978,0
"2016M10","Skandinaviska Enskilda Banken AB (Publ)",2306477,1482368,2306477,1135427,683904,317415
"2016M10","Swedbank AB (Publ)",1608907,1001415,1608907,989382,307004,0
"2016M10","Svenska Handelsbanken AB (Publ)",2276037,1473233,2276037,1259467,735092,0
"2016M11","Skandinaviska Enskilda Banken AB (Publ)",2287911,1493365,2287911,1119100,693175,317067
"2016M11","Swedbank AB (Publ)",1558241,958336,1558241,950250,310630,0
"2016M11","Svenska Handelsbanken AB (Publ)",2271806,1489446,2271806,1291830,709649,0
"2016M12","Skandinaviska Enskilda Banken AB (Publ)",2040921,1509705,2040921,1004220,650664,317512
"2016M12","Swedbank AB (Publ)",1364509,930616,1364509,805379,282994,0
"2016M12","Svenska Handelsbanken AB (Publ)",1924241,1365002,1924241,1019404,649559,0
"2017M01","Skandinaviska Enskilda Banken AB (Publ)",2314329,1476470,2314329,1217767,680335,322466
"2017M01","Swedbank AB (Publ)",1579299,902286,1579299,896652,312171,0
"2017M01","Svenska Handelsbanken AB (Publ)",2220230,1437730,2220230,1231046,674537,0
"2017M02","Skandinaviska Enskilda Banken AB (Publ)",2305318,1483696,2305318,1203017,690681,325167
"2017M02","Swedbank AB (Publ)",1643037,876883,1643037,942821,364856,0
"2017M02","Svenska Handelsbanken AB (Publ)",2227602,1462762,2227602,1276871,684804,0
"2017M03","Skandinaviska Enskilda Banken AB (Publ)",2354659,1506363,2354659,1217164,711932,327771
"2017M03","Swedbank AB (Publ)",1617219,895857,1617219,908999,429875,0
"2017M03","Svenska Handelsbanken AB (Publ)",2191901,1457522,2191901,1260320,675487,0
"2017M04","Skandinaviska Enskilda Banken AB (Publ)",2334316,1553023,2334316,1244660,688996,325463
"2017M04","Swedbank AB (Publ)",1616218,882919,1616218,951248,388415,0
"2017M04","Svenska Handelsbanken AB (Publ)",2258142,1477642,2258142,1322200,682503,0
"2017M05","Skandinaviska Enskilda Banken AB (Publ)",2404067,1510577,2404067,1295331,681471,333518
"2017M05","Swedbank AB (Publ)",1649825,883091,1649825,970876,394321,0
"2017M05","Svenska Handelsbanken AB (Publ)",2273700,1506758,2273700,1345146,667270,0
"2017M06","Skandinaviska Enskilda Banken AB (Publ)",2210937,1521430,2210937,1154068,635566,317197
"2017M06","Swedbank AB (Publ)",1585976,954463,1585976,962978,350825,0
"2017M06","Svenska Handelsbanken AB (Publ)",2265954,1479900,2265954,1333017,685285,0
"2017M07","Skandinaviska Enskilda Banken AB (Publ)",2323933,1474193,2323933,1246183,632879,318955
"2017M07","Swedbank AB (Publ)",1568427,909812,1568427,943151,346144,0
"2017M07","Svenska Handelsbanken AB (Publ)",2272801,1525357,2272801,1333551,690340,0
"2017M08","Skandinaviska Enskilda Banken AB (Publ)",2299567,1460104,2299567,1229942,623914,319745
"2017M08","Swedbank AB (Publ)",1624340,927346,1624340,981469,355390,0
"2017M08","Svenska Handelsbanken AB (Publ)",2260362,1499602,2260362,1324018,688254,0
"2017M09","Skandinaviska Enskilda Banken AB (Publ)",2315342,1466130,2315342,1277238,643874,320768
"2017M09","Swedbank AB (Publ)",1610582,928942,1610582,981723,356805,0
"2017M09","Svenska Handelsbanken AB (Publ)",2272609,1554856,2272609,1340188,682136,0
"2017M10","Skandinaviska Enskilda Banken AB (Publ)",2335844,1480237,2335844,1281115,640387,318324
"2017M10","Swedbank AB (Publ)",1776331,942886,1776331,1030181,400517,0
"2017M10","Svenska Handelsbanken AB (Publ)",2376106,1532823,2376106,1373021,680438,0
"2017M11","Skandinaviska Enskilda Banken AB (Publ)",2303439,1474925,2303439,1251707,648033,327300
"2017M11","Swedbank AB (Publ)",1652828,938136,1652828,991503,388553,0
"2017M11","Svenska Handelsbanken AB (Publ)",2261991,1516343,2261991,1346166,674968,0
"2017M12","Skandinaviska Enskilda Banken AB (Publ)",1958896,1467130,1958896,1014191,599917,324453
"2017M12","Swedbank AB (Publ)",1334465,876761,1334465,773406,323223,0
"2017M12","Svenska Handelsbanken AB (Publ)",2045513,1477878,2045513,1147265,655156,0
"2018M01","Skandinaviska Enskilda Banken AB (Publ)",2294551,1483706,2294551,1211860,637284,329369
"2018M01","Swedbank AB (Publ)",1621739,915291,1621739,969702,394882,0
"2018M01","Svenska Handelsbanken AB (Publ)",2262427,1532410,2262427,1333529,671775,0
"2018M02","Skandinaviska Enskilda Banken AB (Publ)",2304453,1518731,2304453,1248661,633850,338940
"2018M02","Swedbank AB (Publ)",1605550,888632,1605550,952227,376176,0
"2018M02","Svenska Handelsbanken AB (Publ)",2343211,1589652,2343211,1372871,696511,0
